model,dataset,stage,calls_per_chunk_max,calls_per_chunk_obs,stage_calls_max_total,stage_calls_obs_total,stage_share_max,stage_share_obs,stage_input_tokens_est_obs,stage_output_tokens_est_obs,stage_total_tokens_est_obs,stage_dollars_est_obs
deepseek-r1-distill-qwen-32b,4CE,reconciliation,0,0.0,0,0.0,0.0,0.0,0,0,0,
deepseek-r1-distill-qwen-32b,CORAL-Breast,ner,1,1.0,141,141.0,0.1,0.1481,199334,299001,498335,
deepseek-r1-distill-qwen-32b,CORAL-Breast,entity,2,2.0,282,282.0,0.2,0.2963,398668,598002,996670,
deepseek-r1-distill-qwen-32b,CORAL-Breast,info,2,2.0,282,282.0,0.2,0.2963,398668,598002,996670,
deepseek-r1-distill-qwen-32b,CORAL-Breast,date,5,1.75,705,246.8,0.5,0.2593,348834,523252,872086,
deepseek-r1-distill-qwen-32b,CORAL-Breast,reconciliation,0,0.0,0,0.0,0.0,0.0,0,0,0,
deepseek-r1-distill-qwen-32b,CORAL-Pancreas,ner,1,1.0,140,140.0,0.1,0.1481,204541,306811,511352,
deepseek-r1-distill-qwen-32b,CORAL-Pancreas,entity,2,2.0,280,280.0,0.2,0.2963,409082,613623,1022705,
deepseek-r1-distill-qwen-32b,CORAL-Pancreas,info,2,2.0,280,280.0,0.2,0.2963,409082,613623,1022705,
deepseek-r1-distill-qwen-32b,CORAL-Pancreas,date,5,1.75,700,245.0,0.5,0.2593,357946,536920,894866,
deepseek-r1-distill-qwen-32b,CORAL-Pancreas,reconciliation,0,0.0,0,0.0,0.0,0.0,0,0,0,
