source_file,note_key,model_inferred,dataset_inferred,duration_sec,total_prompt_tokens,total_completion_tokens,total_tokens,num_chunks,avg_tokens_per_chunk,total_original_chunk_tokens,avg_original_chunk_tokens,avg_prompt_tokens_per_chunk,avg_completion_tokens_per_chunk,avg_calls_per_chunk
slurm-200045.out,coral_annotated_breastca_27,o3-mini,CORAL-Breast,2127.76,115826,407706,523532,12,43627.666666666664,6014,501.1666666666667,9652.166666666666,33975.5,
slurm-200045.out,coral_annotated_breastca_28,o3-mini,CORAL-Breast,1401.2,63560,219275,282835,7,40405.0,3397,485.2857142857143,9080.0,31325.0,
slurm-200045.out,coral_annotated_breastca_29,o3-mini,CORAL-Breast,1578.34,82944,289120,372064,9,41340.444444444445,4403,489.22222222222223,9216.0,32124.444444444445,
slurm-200045.out,coral_annotated_breastca_30,o3-mini,CORAL-Breast,1025.51,50651,167804,218455,5,43691.0,2330,466.0,10130.2,33560.8,
slurm-200045.out,coral_annotated_breastca_31,o3-mini,CORAL-Breast,1036.8,55191,199043,254234,6,42372.333333333336,2942,490.3333333333333,9198.5,33173.833333333336,
slurm-200045.out,coral_annotated_breastca_32,o3-mini,CORAL-Breast,2819.03,111113,418424,529537,12,44128.083333333336,6061,505.0833333333333,9259.416666666666,34868.666666666664,
slurm-200045.out,coral_annotated_breastca_33,o3-mini,CORAL-Breast,1602.56,60702,202479,263181,6,43863.5,3062,510.3333333333333,10117.0,33746.5,
slurm-200045.out,coral_annotated_breastca_34,o3-mini,CORAL-Breast,1985.97,93626,326961,420587,10,42058.7,4862,486.2,9362.6,32696.1,
slurm-200045.out,coral_annotated_breastca_35,o3-mini,CORAL-Breast,975.53,43522,158381,201903,5,40380.6,2325,465.0,8704.4,31676.2,
slurm-200045.out,coral_annotated_breastca_36,o3-mini,CORAL-Breast,1168.04,66160,231162,297322,7,42474.57142857143,3321,474.42857142857144,9451.42857142857,33023.142857142855,
slurm-200045.out,coral_annotated_breastca_37,o3-mini,CORAL-Breast,863.26,48638,168288,216926,5,43385.2,2524,504.8,9727.6,33657.6,
slurm-200045.out,coral_annotated_breastca_38,o3-mini,CORAL-Breast,1478.16,72990,262877,335867,7,47981.0,3632,518.8571428571429,10427.142857142857,37553.857142857145,
