model_a,model_b,dataset,column,metric,n_common_notes,n_boot,delta_point,delta_boot_mean,delta_ci_lo,delta_ci_hi,p_value,p_fdr
gpt4o,deepseek,coral_pdac,assertion_status,f1,15,2000,0.07215738741113176,0.07176328973338189,0.039883167703828,0.10490585495196346,0.0005,0.0009230769230769232
gpt4o,deepseek,coral_pdac,assertion_status,accuracy,15,2000,0.10681592439124721,0.10605200849070334,0.06021338657362361,0.15236126628774552,0.0005,0.0009230769230769232
gpt4o,deepseek,coral_pdac,begin_date,f1,15,2000,-0.01397346335974492,-0.014425172167772029,-0.10278562742118233,0.07773254662359505,0.74,0.7721739130434783
gpt4o,deepseek,coral_pdac,begin_date,accuracy,15,2000,-0.01691280712972898,-0.01743175285418564,-0.12428683372971226,0.09292712963459873,0.741,0.7732173913043477
gpt4o,deepseek,coral_pdac,end_date,f1,15,2000,-0.0067647594704211,-0.006854620952321965,-0.09342417775565036,0.08063807278268448,0.871,0.8832676056338029
gpt4o,deepseek,coral_pdac,end_date,accuracy,15,2000,-0.008328872733911696,-0.00812323957555597,-0.11591587623451705,0.0995558352609024,0.871,0.8832676056338029
gpt4o,deepseek,coral_pdac,value,f1,15,2000,0.04313914117835693,0.042945506730586405,0.014221888580791717,0.06916104009936053,0.004,0.006697674418604652
gpt4o,deepseek,coral_pdac,value,accuracy,15,2000,0.06921296708383029,0.06890358075889805,0.02261705468587269,0.11132589899886002,0.004,0.006697674418604652
gpt4o,deepseek,coral_pdac,unit,f1,15,2000,0.0850865034535746,0.08450520223148178,0.041075798636397584,0.13018529237252865,0.001,0.00175609756097561
gpt4o,deepseek,coral_pdac,unit,accuracy,15,2000,0.12938261747645774,0.1284073994950942,0.06188531025286734,0.1927553121436866,0.001,0.00175609756097561
gpt4o,llama,4CE,code,f1,21,2000,0.09252872207697638,0.09344787809965004,0.05691021604099837,0.12824808272151836,0.0005,0.0009230769230769232
gpt4o,llama,4CE,code,accuracy,21,2000,0.13479695612681875,0.1361980232546052,0.08186952222973756,0.18718596752955455,0.0005,0.0009230769230769232
gpt4o,llama,4CE,assertion_status,f1,21,2000,0.04232458276176876,0.04292138107028963,0.008051611255485303,0.07446533345994419,0.02,0.030638297872340424
gpt4o,llama,4CE,assertion_status,accuracy,21,2000,0.06554023961541866,0.06663320614746576,0.012245456646274792,0.11602094258363344,0.02,0.030638297872340424
gpt4o,llama,4CE,begin_date,f1,21,2000,-0.22515039762593625,-0.20491005009587715,-0.32141584648700455,-0.023086844427931904,0.035,0.05040000000000001
