bin_label,bin_left,bin_right,n_notes,f1_point,f1_boot_mean,f1_ci_lo,f1_ci_hi
"(1525.999, 2017.0]",1525.999,2017.0,7,0.8260174160298561,0.8259748165425437,0.778009915120199,0.8825705939629991
"(2017.0, 2358.0]",2017.0,2358.0,6,0.8273740868896577,0.8275402999677927,0.7579012761983814,0.8744368266405484
"(2358.0, 2670.0]",2358.0,2670.0,6,0.7851060759128301,0.7881204195130456,0.7176302208896954,0.8555060471037556
"(2670.0, 2933.0]",2670.0,2933.0,6,0.8466009603234773,0.8462139093106342,0.8050814833825227,0.8803896927422609
"(2933.0, 3317.0]",2933.0,3317.0,6,0.7892520553438942,0.7934407918953871,0.723687453783584,0.8663617258004698
"(3317.0, 3632.0]",3317.0,3632.0,6,0.8362831858407079,0.8369610721916689,0.8034078411920206,0.8750421017177501
"(3632.0, 4306.0]",3632.0,4306.0,6,0.8285927523011859,0.828992058615788,0.7898544698544698,0.862339880444065
"(4306.0, 7926.0]",4306.0,7926.0,6,0.797312885933365,0.7965642516793423,0.751549040350612,0.8447797768749598
