model,dataset,column,metric,point_estimate,boot_mean,boot_std,ci_lo,ci_hi,n_notes,n_boot
gpt4o,coral_pdac,assertion_status,precision,0.9189696807083445,0.9185667231659607,0.012589978946879311,0.89336612189458,0.9422023944037468,15,2000
gpt4o,coral_pdac,assertion_status,recall,0.8317144244779019,0.8318872504835153,0.011365099268911522,0.8078435766860808,0.852782487317438,15,2000
gpt4o,coral_pdac,assertion_status,f1,0.8731676226896111,0.8729854073875195,0.007723021525098302,0.8572107014046177,0.8871305807366815,15,2000
gpt4o,coral_pdac,assertion_status,accuracy,0.7748868778280543,0.7746831087024882,0.012147071087809552,0.7501038927090502,0.7971560422655957,15,2000
gpt4o,coral_pdac,begin_date,precision,0.9833935018050541,0.9836896266639401,0.0044322876728303566,0.974632670061926,0.991972167707404,15,2000
gpt4o,coral_pdac,begin_date,recall,0.5525354969574037,0.5544197928910036,0.047527534127981066,0.46467552102843057,0.64838617635977,15,2000
gpt4o,coral_pdac,begin_date,f1,0.7075324675324676,0.7079969705330958,0.039454055885413473,0.6303497401647928,0.783433509343905,15,2000
gpt4o,coral_pdac,begin_date,accuracy,0.547427652733119,0.5494258951136938,0.04728731611684851,0.4602267929928321,0.6439709761431743,15,2000
gpt4o,coral_pdac,end_date,precision,0.9804630969609262,0.9801154011608424,0.0071098431442477555,0.964638785929086,0.9923969253055884,15,2000
gpt4o,coral_pdac,end_date,recall,0.5714888232813159,0.5727555793379013,0.049873688431623694,0.4757375610440871,0.6707318402774085,15,2000
gpt4o,coral_pdac,end_date,f1,0.7220889954702904,0.7218326571802711,0.04106183259350164,0.6375210008016144,0.7972463793754125,15,2000
gpt4o,coral_pdac,end_date,accuracy,0.5650542118432027,0.5663452639502661,0.05003477810908291,0.4679125464966972,0.6628509756227569,15,2000
gpt4o,coral_pdac,value,precision,0.9873217115689382,0.9876646029828753,0.005729302269862282,0.9758662625355485,0.9979925655000956,15,2000
gpt4o,coral_pdac,value,recall,0.8351206434316354,0.8353491889382253,0.025769750444345825,0.7866133342628742,0.8858914021132038,15,2000
gpt4o,coral_pdac,value,f1,0.9048656499636892,0.9048905738979945,0.014324854496852864,0.8774501451636965,0.932041579748106,15,2000
gpt4o,coral_pdac,value,accuracy,0.8262599469496021,0.8266139823058102,0.023903803284633287,0.7816580639615858,0.8727320863705129,15,2000
gpt4o,coral_pdac,unit,precision,0.9930167597765364,0.9931854985286895,0.002812541546112306,0.9875924523257886,0.9985080114135206,15,2000
gpt4o,coral_pdac,unit,recall,0.8144329896907216,0.8141174237920177,0.02650856398563841,0.763757777727314,0.8667529021835475,15,2000
gpt4o,coral_pdac,unit,f1,0.89490245437382,0.8945532740196974,0.016296261200444764,0.8631402125357416,0.9262110467336538,15,2000
gpt4o,coral_pdac,unit,accuracy,0.8097949886104784,0.8096166355135379,0.026698837837048857,0.7592318968547206,0.8625633969360522,15,2000
deepseek,4CE,code,precision,0.746042216358839,0.7457243245972472,0.015010099264221772,0.7171157317749323,0.775355933914437,21,2000
deepseek,4CE,code,recall,0.750996015936255,0.7502533909226937,0.021553890749588273,0.7093159077289732,0.7921715915210937,21,2000
deepseek,4CE,code,f1,0.7485109199205823,0.7477996059032079,0.01439962138469597,0.7192976076555025,0.7755002746987478,21,2000
deepseek,4CE,code,accuracy,0.5980962453728186,0.597399439866299,0.018359909170743836,0.5616430577271632,0.6333200890714091,21,2000
deepseek,4CE,assertion_status,precision,0.8758833922261484,0.8758799104925488,0.012180074495466224,0.8521273933173323,0.899856091770853,21,2000
deepseek,4CE,assertion_status,recall,0.7767332549941246,0.776108267805039,0.018275036050209893,0.7417896051873084,0.8109311627443159,21,2000
deepseek,4CE,assertion_status,f1,0.823334025326967,0.8228486617079698,0.01232922377740044,0.7995591397870131,0.8468752398924608,21,2000
